"노선번호","노선ID"
"56-1","215000083"
"56-2","215000084"
"58-5","215000088"
"56-3","215000094"
"2","215000118"
"58-7","215000149"
"58-8","215000150"
"58-9","215000151"
"58-10","215000152"
"58-12","215000163"
"56-8","215000164"
"56-9","215000165"
"91","215000205"
"91-1","215000206"
"4","215000222"
"3","215000223"
"5","215000225"
"6","215000226"
"90","215000227"
"61","215000229"
"11","215000230"
"91-3","215000233"
"91-4","215000234"
"91-4","215000234"
"51","215000238"
"55","215000239"
"P9701(출근)","233000375"
"P9701(퇴근)","233000376"
"50","210000001"
"12-1","210000002"
"50-1","210000003"
"55","210000004"
"55-1","210000005"
"53","210000006"
"56","210000007"
"52","210000009"
"70-2","210000012"
"3","210000013"
"5","210000014"
"5-3","210000016"
"5-4","210000017"
"6","210000019"
"8","210000024"
"23-2","210000033"
"70","210000034"
"70-3","210000036"
"71","210000037"
"75","210000038"
"700","210000039"
"57","210000040"
"59","210000042"
"60","210000043"
"6-2","210000046"
"56-1","210000049"
"57-1","210000052"
"60-1","210000057"
"23","210000060"
"66","210000061"
"20","210000062"
"27","210000063"
"19","210000064"
"59-1","210000069"
"58-1","210000072"
"25","210000073"
"98","210000075"
"77","210000093"
"58-B","210000099"
"58-B","210000099"
"56-2","210000103"
"33","210000105"
"58-2","210000106"
"G8808","210000108"
"99","210000109"
"10A역곡역","210000111"
"10A역곡역","210000111"
"10A범박옥길","210000112"
"10A범박옥길","210000112"
"부천똑버스02","210000114"
"부천똑버스02","210000114"
"부천똑버스01","210000115"
"88","212000001"
"83","212000002"
"10","212000003"
"95","212000005"
"16","212000006"
"015","241261001"
"013","241262001"
"013-1","241262002"
"013-2","241262003"
"013-3","241262004"
"013-4","241262006"
"017","241263002"
"017-1","241263003"
"51","241281001"
"51-1","241281002"
"51-2","241281003"
"6","204000004"
"57","204000005"
"357","204000007"
"50","204000012"
"60","204000013"
"55","204000017"
"100","204000018"
"33-1","204000019"
"33","204000020"
"51","204000021"
"220","204000022"
"9407","204000024"
"52","204000026"
"200","204000029"
"240","204000032"
"330","204000039"
"340","204000040"
"9004","204000041"
"350","204000044"
"9003","204000046"
"250","204000048"
"390","204000051"
"4500","204000056"
"3330","204000057"
"9507","204000059"
"103","204000060"
"9607","204000065"
"341","204000067"
"9007","204000070"
"315","204000073"
"382","204000076"
"380","204000079"
"G8110","204000082"
"100출","204000083"
"100출","204000083"
"331","204000084"
"370","204000131"
"231","204000139"
"9200","204000141"
"누리1","204000145"
"누리2","204000146"
"누리3","204000147"
"반디1","204000149"
